X,Y,Subsidence index_BH
193100.622,279298.3484,0.238231621
191175.3584,277435.3302,0.296987438
191075.361,277292.2295,0.3168075
192015.7458,278022.1393,0.25751505
191709.2614,277045.4398,0.17317677
192008.8553,277360.8425,0.31768786
192893.5261,279086.9465,0.320996889
191519.9184,280105.4216,0.277598845
191471.1253,279637.9232,0.320822796
191480.158,277358.0349,0.306051762
191887.9594,277116.942,0.28173109
192268.1506,277598.345,0.321110612
192277.142,278195.4421,0.205196876
192638.6432,277986.5484,0.26995141
192727.8241,279282.5431,0.260694507
192843.6183,279648.0429,0.304748202
191420.3091,280783.1167,0.244632655
191276.0348,279049.4234,0.523515486
191044.8452,278403.3234,0.596664695
190821.5567,277680.4239,0.539445403
190840.0624,277274.8262,0.58284711
191412.5385,278742.6269,0.522033675
191275.5494,278028.8286,0.620539745
191286.1562,277553.6312,0.460919343
191829.8454,278113.1361,0.549049952
191646.8578,277314.5376,0.649480356
192160.5491,277741.5428,0.520543523
192239.9531,277431.5455,0.564637779
192638.1209,279537.4405,0.464525854
192591.527,279128.7419,0.51701993
192489.2394,278302.7446,0.506530993
192427.6451,277926.5457,0.535367712
192627.5501,277508.0507,0.408031724
192835.93,278832.7469,0.544408491
192859.1377,278290.25,0.519267921
192856.0429,277932.9518,0.342302205
191360.321,279978.9199,0.451933543
191513.6222,279841.6228,0.362802714
190988.8299,279490.5171,0.447134795
190986.6378,278937.8198,0.439332037
191355.1443,278358.7281,0.518694566
191544.2442,278300.5311,0.480071598
190902.3486,278216.4223,0.624952429
191594.747,278086.5329,0.335264804
190889.8531,277908.8237,0.629468291
191087.8516,277943.9263,0.554969049
190982.254,277814.3255,0.483137902
191291.5532,277756.7302,0.470747295
190995.3578,277540.8271,0.489727142
191437.6535,277690.9326,0.478773558
191805.3497,277823.4373,0.56121752
192157.5573,277173.7456,0.513227233
192713.8514,277384.8525,0.539295348
192418.7477,277747.1464,0.616554788
192720.2469,277696.451,0.536022906
193060.1427,277869.655,0.634698495
192507.8416,278145.6457,0.356333984
193158.3389,278103.8553,0.532011587
193385.3362,278209.758,0.632209781
192993.2366,278322.4518,0.551389533
192943.2223,279331.046,0.342094514
192835.3208,279476.5437,0.429211716
192697.4178,279730.4404,0.40603507
191262.9283,279501.4209,0.495805007
191418.1326,279147.625,0.445371473
191177.541,278652.624,0.410717291
191436.3469,278144.6303,0.559354156
191435.0498,277945.0313,0.546641386
190837.5616,277330.9259,0.50802384
191239.9605,277271.7319,0.501107501
191523.662,277064.5371,0.378892339
192228.7446,278034.0423,0.382680411
192441.8514,277485.5481,0.483066044
192621.8457,277818.349,0.49666804
193093.9456,277661.2566,0.540359218
193202.0353,278335.2547,0.572637655
192640.3376,278372.2465,0.469663726
193225.9306,278655.9534,0.610203582
193366.9258,278939.354,0.543470416
193082.7269,278967.5498,0.442851723
192583.9309,278857.6432,0.436551876
192631.1233,279373.5412,0.51065613
192840.5172,279722.2425,0.415872548
191412.8359,278919.2261,0.540106657
191354.3414,278560.927,0.562917324
191442.1458,278225.43,0.391027882
191302.7512,277894.3297,0.485360795
191142.2541,277749.0281,0.515559532
191276.9551,277634.5306,0.494519992
191583.1512,277793.4342,0.464488024
191866.751,277714.5387,0.432937134
191036.4636,277125.8298,0.520100642
192273.7466,277875.4437,0.407307489
193259.8358,278282.0558,0.375369786
193244.7341,278408.155,0.385909499
192949.3341,278510.1502,0.377950385
192944.932,278655.4494,0.652735969
192704.1327,278693.4457,0.595217853
193131.5285,278838.8512,0.653466265
193097.7241,279153.1491,0.474925541
193012.8202,279454.6463,0.391541041
191360.019,280119.3192,0.395629627
191373.619,280114.6194,0.620945547
191291.6218,279947.7191,0.45707545
191179.5244,279801.3182,0.475967757
191187.3245,279792.2184,0.400957752
191039.727,279673.3169,0.422349566
191050.0271,279665.417,0.657675334
190950.8298,279505.8164,0.553099827
190914.2327,279318.7169,0.403292479
190931.1326,279317.8171,0.553026682
190943.5353,279129.8182,0.558888142
190956.6352,279133.8184,0.465385084
190953.6379,278947.1193,0.552478326
190930.8407,278759.8199,0.569167604
190944.9406,278757.7202,0.545669383
190903.1435,278572.5205,0.571807214
190917.7434,278569.9207,0.519688003
190870.1463,278387.721,0.555129096
190816.6519,278013.6221,0.656507409
190779.6548,277828.8225,0.608858561
191494.114,280420.2196,0.376126503
191251.4155,280398.9162,0.359631729
191926.9102,280532.3252,0.509874449
191647.9128,280449.3216,0.430255103
192010.9139,280242.3279,0.335797718
192384.9117,280269.3332,0.356079793
192115.9165,280029.3305,0.41179064
192670.9145,279973.3388,0.339402931
191525.5093,280735.6184,0.36650648
191861.8125,280395.525,0.383320492
192416.2098,280387.533,0.504882847
191450.7294,279361.3243,0.689213016
191203.8635,277073.1324,0.84870068
191630.7538,277595.7359,0.738865555
192154.1427,278189.8404,0.67907926
192867.7338,278561.1488,0.674456736
193275.5322,278525.2548,0.854031709
191510.3596,277235.736,0.736252064
193191.6467,277549.6585,0.745756758
192787.5408,278099.85,0.696180564
193073.3332,278532.7519,0.663533603
193475.9286,278707.6568,0.931972162
193075.8303,278732.8509,0.669710767
193285.3283,278793.7536,0.665054856
190883.5463,278385.2212,0.69474696
190836.7491,278201.9214,0.76875978
190803.652,278016.0219,0.679190083
191476.2121,280553.5186,0.713473098
191390.0148,280400.4182,0.697055312
